Event [id=261, message=Message is set manually, date=21 жовт. 2019 0:46:18]
Event [id=2
Event [id=299, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=585, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=126, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=756, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=254, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=466, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=467, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=798, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=430, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=964, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=255, message=Message is set manually, date=21 жовт. 2019 0:56:30]
Event [id=906, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=963, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=630, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=736, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=275, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=360, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=643, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=894, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=158, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=574, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=650, message=Message is set manually, date=21 жовт. 2019 1:05:50]
Event [id=804, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=851, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=813, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=823, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=144, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=359, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=481, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=165, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=464, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=534, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=844, message=Message is set manually, date=21 жовт. 2019 1:13:58]
Event [id=840, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=345, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=910, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=724, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=245, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=879, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=833, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=117, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=781, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=280, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=780, message=Message is set manually, date=21 жовт. 2019 1:15:54]
Event [id=895, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=745, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=404, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=565, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=307, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=386, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=153, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=881, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=142, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=943, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=209, message=Message is set manually, date=21 жовт. 2019 1:18:48]
Event [id=105, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=947, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=156, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=115, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=110, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=928, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=995, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=629, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=870, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=184, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=681, message=Message is set manually, date=21 жовт. 2019 1:19:52]
Event [id=461, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=599, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=829, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=165, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=108, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=263, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=251, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=570, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=461, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=120, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=502, message=Message is set manually, date=21 жовт. 2019 1:31:41]
Event [id=917, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=906, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=523, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=303, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=517, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=642, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=659, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=932, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=443, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=181, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=743, message=Message is set manually, date=21 жовт. 2019 1:36:43]
Event [id=371, message=Message is set manually, date=21 жовт. 2019 2:17:47]
Event [id=584, message=Message is set manually, date=21 жовт. 2019 2:17:47]
Event [id=796, message=Message is set manually, date=21 жовт. 2019 2:17:47]
